Location,Time,Day,Weather,Event,Congestion
Wuse,11:00,Wednesday,Clear,No,Low
Asokoro,16:00,Saturday,Rainy,No,Low
Wuse,17:00,Monday,Sunny,No,Medium
Garki,11:00,Tuesday,Cloudy,Yes,Low
Wuse,11:00,Saturday,Rainy,No,Low
Utako,16:00,Thursday,Rainy,No,Medium
Garki,14:00,Monday,Sunny,No,Low
Wuse,14:00,Thursday,Rainy,No,Medium
Maitama,17:00,Wednesday,Clear,No,Medium
Wuse,21:00,Sunday,Clear,No,Low
Maitama,17:00,Tuesday,Rainy,Yes,High
Asokoro,08:00,Saturday,Rainy,Yes,High
Asokoro,06:00,Tuesday,Cloudy,Yes,Low
Utako,12:00,Wednesday,Rainy,No,Medium
Utako,16:00,Tuesday,Sunny,No,Low
Garki,09:00,Monday,Sunny,No,Low
Asokoro,06:00,Monday,Rainy,Yes,Medium
Maitama,22:00,Wednesday,Clear,No,Low
Asokoro,17:00,Wednesday,Clear,No,Medium
Wuse,12:00,Thursday,Sunny,Yes,Low
Utako,08:00,Saturday,Clear,Yes,Medium
Garki,13:00,Sunday,Sunny,Yes,Low
Maitama,07:00,Wednesday,Clear,No,Medium
Maitama,20:00,Sunday,Rainy,Yes,Medium
Utako,09:00,Thursday,Rainy,Yes,Medium
Utako,06:00,Tuesday,Sunny,Yes,Low
Maitama,19:00,Wednesday,Rainy,No,Medium
Asokoro,07:00,Thursday,Clear,Yes,Medium
Asokoro,09:00,Saturday,Cloudy,Yes,Low
Garki,18:00,Thursday,Rainy,Yes,High
Maitama,06:00,Sunday,Sunny,Yes,Low
Maitama,16:00,Friday,Rainy,No,Medium
Garki,21:00,Wednesday,Cloudy,Yes,Low
Utako,13:00,Friday,Clear,Yes,Low
Garki,21:00,Monday,Cloudy,Yes,Low
Garki,22:00,Sunday,Clear,No,Low
Maitama,09:00,Wednesday,Cloudy,Yes,Low
Wuse,16:00,Sunday,Sunny,No,Low
Wuse,18:00,Friday,Cloudy,No,Medium
Utako,19:00,Sunday,Rainy,No,Low
Wuse,09:00,Tuesday,Sunny,No,Low
Asokoro,11:00,Saturday,Cloudy,Yes,Low
Garki,17:00,Friday,Sunny,No,Medium
Asokoro,22:00,Sunday,Rainy,No,Low
Garki,08:00,Saturday,Rainy,Yes,High
Maitama,21:00,Saturday,Cloudy,Yes,Low
Utako,09:00,Monday,Cloudy,Yes,Low
Maitama,07:00,Saturday,Sunny,Yes,Medium
Asokoro,16:00,Friday,Clear,Yes,Low
Maitama,11:00,Tuesday,Sunny,Yes,Low
Utako,11:00,Saturday,Clear,Yes,Low
Garki,15:00,Tuesday,Cloudy,No,Low
Wuse,07:00,Friday,Rainy,No,High
Utako,10:00,Thursday,Cloudy,No,Low
Maitama,21:00,Friday,Cloudy,Yes,Low
Garki,21:00,Saturday,Rainy,Yes,Medium
Wuse,08:00,Monday,Rainy,No,High
Maitama,18:00,Tuesday,Clear,Yes,Medium
Maitama,06:00,Thursday,Rainy,No,Medium
Asokoro,15:00,Wednesday,Sunny,No,Low
Wuse,18:00,Saturday,Clear,Yes,Medium
Asokoro,20:00,Thursday,Cloudy,No,Low
Maitama,15:00,Tuesday,Sunny,No,Low
Asokoro,10:00,Tuesday,Sunny,No,Low
Wuse,22:00,Friday,Rainy,No,Medium
Asokoro,22:00,Wednesday,Cloudy,Yes,Low
Garki,11:00,Wednesday,Rainy,No,Medium
Maitama,13:00,Tuesday,Sunny,No,Low
Utako,18:00,Sunday,Clear,No,Low
Wuse,09:00,Wednesday,Cloudy,No,Low
Utako,20:00,Friday,Clear,No,Low
Utako,09:00,Saturday,Sunny,No,Low
Garki,17:00,Wednesday,Rainy,No,High
Asokoro,15:00,Saturday,Sunny,No,Low
Maitama,06:00,Tuesday,Rainy,No,Medium
Wuse,22:00,Saturday,Sunny,Yes,Low
Maitama,20:00,Monday,Clear,No,Low
Garki,12:00,Wednesday,Cloudy,No,Low
Garki,17:00,Tuesday,Cloudy,No,Medium
Asokoro,07:00,Sunday,Cloudy,Yes,Medium
Maitama,18:00,Sunday,Cloudy,No,Low
Asokoro,10:00,Tuesday,Rainy,Yes,Medium
Garki,12:00,Monday,Clear,No,Low
Utako,07:00,Monday,Rainy,Yes,High
Asokoro,12:00,Sunday,Clear,Yes,Low
Asokoro,18:00,Monday,Clear,No,Medium
Garki,07:00,Saturday,Sunny,No,Low
Asokoro,10:00,Tuesday,Clear,No,Low
Wuse,16:00,Monday,Sunny,No,Low
Garki,12:00,Thursday,Cloudy,Yes,Low
Garki,20:00,Saturday,Clear,Yes,Low
Garki,09:00,Thursday,Cloudy,Yes,Low
Maitama,07:00,Thursday,Clear,Yes,Medium
Garki,21:00,Friday,Sunny,No,Low
Maitama,18:00,Monday,Sunny,No,Medium
Garki,08:00,Sunday,Cloudy,No,Low
Wuse,11:00,Wednesday,Clear,No,Low
Maitama,09:00,Monday,Clear,Yes,Low
Utako,16:00,Wednesday,Cloudy,No,Low
Maitama,22:00,Saturday,Cloudy,Yes,Low
Maitama,15:00,Thursday,Rainy,No,Medium
Garki,12:00,Sunday,Cloudy,No,Low
Utako,16:00,Sunday,Cloudy,No,Low
Asokoro,09:00,Monday,Rainy,No,Medium
Wuse,10:00,Wednesday,Clear,No,Low
Utako,14:00,Monday,Rainy,Yes,Medium
Asokoro,09:00,Friday,Sunny,No,Low
Wuse,07:00,Wednesday,Rainy,No,High
Garki,07:00,Sunday,Clear,No,Low
Asokoro,09:00,Sunday,Rainy,No,Low
Maitama,07:00,Tuesday,Rainy,Yes,High
Wuse,14:00,Saturday,Rainy,No,Low
Asokoro,19:00,Friday,Sunny,No,Low
Utako,14:00,Tuesday,Cloudy,Yes,Low
Asokoro,11:00,Wednesday,Clear,No,Low
Garki,20:00,Sunday,Rainy,Yes,Medium
Wuse,10:00,Friday,Rainy,No,Medium
Wuse,21:00,Wednesday,Cloudy,No,Low
Wuse,08:00,Saturday,Sunny,Yes,Medium
Utako,09:00,Saturday,Rainy,No,Low
Garki,08:00,Saturday,Clear,No,Low
Garki,20:00,Sunday,Cloudy,Yes,Low
Asokoro,10:00,Sunday,Clear,Yes,Low
Wuse,20:00,Thursday,Cloudy,Yes,Low
Maitama,16:00,Friday,Sunny,Yes,Low
Maitama,07:00,Sunday,Cloudy,No,Low
Maitama,16:00,Sunday,Clear,No,Low
Garki,22:00,Sunday,Sunny,Yes,Low
Wuse,08:00,Saturday,Cloudy,No,Low
Maitama,10:00,Sunday,Rainy,No,Low
Maitama,10:00,Thursday,Clear,Yes,Low
Asokoro,13:00,Tuesday,Sunny,Yes,Low
Garki,07:00,Saturday,Rainy,Yes,High
Asokoro,22:00,Wednesday,Cloudy,Yes,Low
Asokoro,06:00,Friday,Sunny,Yes,Low
Garki,10:00,Wednesday,Cloudy,Yes,Low
Asokoro,20:00,Friday,Cloudy,Yes,Low
Maitama,16:00,Tuesday,Cloudy,Yes,Low
Asokoro,08:00,Wednesday,Cloudy,Yes,Medium
Utako,16:00,Sunday,Sunny,Yes,Low
Maitama,18:00,Thursday,Cloudy,Yes,Medium
Maitama,22:00,Thursday,Cloudy,No,Low
Asokoro,15:00,Wednesday,Sunny,Yes,Low
Wuse,16:00,Saturday,Clear,No,Low
Maitama,08:00,Saturday,Cloudy,No,Low
Garki,06:00,Thursday,Sunny,Yes,Low
Maitama,18:00,Thursday,Sunny,No,Medium
Asokoro,15:00,Wednesday,Rainy,Yes,Medium
Garki,19:00,Wednesday,Rainy,No,Medium
Garki,15:00,Friday,Sunny,No,Low
Utako,14:00,Monday,Cloudy,No,Low
Maitama,12:00,Saturday,Cloudy,Yes,Low
Asokoro,06:00,Thursday,Sunny,Yes,Low
Garki,22:00,Thursday,Clear,No,Low
Maitama,12:00,Thursday,Clear,Yes,Low
Maitama,15:00,Friday,Sunny,Yes,Low
Utako,11:00,Monday,Cloudy,Yes,Low
Garki,15:00,Thursday,Cloudy,No,Low
Asokoro,18:00,Monday,Cloudy,No,Medium
Wuse,09:00,Monday,Rainy,Yes,Medium
Utako,14:00,Thursday,Clear,No,Low
Garki,17:00,Tuesday,Cloudy,No,Medium
Utako,22:00,Wednesday,Sunny,Yes,Low
Utako,11:00,Tuesday,Cloudy,No,Low
Asokoro,19:00,Saturday,Clear,Yes,Low
Utako,06:00,Tuesday,Sunny,Yes,Low
Garki,19:00,Saturday,Sunny,No,Low
Utako,20:00,Saturday,Cloudy,No,Low
Asokoro,15:00,Wednesday,Cloudy,No,Low
Utako,09:00,Thursday,Cloudy,No,Low
Asokoro,10:00,Wednesday,Sunny,Yes,Low
Garki,14:00,Saturday,Sunny,No,Low
Utako,13:00,Saturday,Rainy,Yes,Medium
Utako,08:00,Wednesday,Rainy,No,High
Maitama,14:00,Saturday,Rainy,Yes,Medium
Asokoro,17:00,Saturday,Sunny,No,Low
Utako,20:00,Saturday,Rainy,Yes,Medium
Maitama,21:00,Wednesday,Sunny,No,Low
Maitama,22:00,Tuesday,Clear,No,Low
Asokoro,07:00,Wednesday,Sunny,Yes,Medium
Maitama,22:00,Sunday,Cloudy,No,Low
Garki,19:00,Monday,Cloudy,No,Low
Asokoro,13:00,Wednesday,Sunny,No,Low
Maitama,09:00,Wednesday,Rainy,Yes,Medium
Maitama,21:00,Monday,Rainy,Yes,Medium
Wuse,14:00,Friday,Rainy,Yes,Medium
Maitama,11:00,Saturday,Sunny,Yes,Low
Garki,15:00,Friday,Sunny,Yes,Low
Asokoro,14:00,Friday,Sunny,No,Low
Wuse,12:00,Saturday,Cloudy,Yes,Low
Wuse,15:00,Friday,Rainy,No,Medium
Garki,16:00,Sunday,Cloudy,No,Low
Garki,14:00,Sunday,Clear,No,Low
Garki,14:00,Wednesday,Cloudy,No,Low
Asokoro,17:00,Monday,Rainy,Yes,High
Maitama,19:00,Tuesday,Cloudy,No,Low
Wuse,14:00,Saturday,Clear,Yes,Low
Wuse,11:00,Tuesday,Sunny,No,Low
Asokoro,14:00,Wednesday,Sunny,Yes,Low
Maitama,08:00,Thursday,Clear,Yes,Medium
Maitama,07:00,Wednesday,Sunny,Yes,Medium
Utako,08:00,Thursday,Sunny,No,Medium
Garki,10:00,Thursday,Sunny,No,Low
Maitama,17:00,Monday,Cloudy,No,Medium
Garki,11:00,Monday,Rainy,No,Medium
Garki,19:00,Monday,Sunny,No,Low
Asokoro,10:00,Tuesday,Rainy,No,Medium
Maitama,10:00,Friday,Cloudy,Yes,Low
Wuse,14:00,Monday,Cloudy,No,Low
Wuse,19:00,Monday,Sunny,Yes,Low
Maitama,15:00,Wednesday,Rainy,No,Medium
Wuse,17:00,Sunday,Cloudy,No,Low
Garki,08:00,Sunday,Sunny,No,Low
Wuse,18:00,Wednesday,Cloudy,Yes,Medium
Wuse,18:00,Sunday,Rainy,No,Medium
Utako,20:00,Friday,Cloudy,No,Low
Maitama,11:00,Thursday,Cloudy,Yes,Low
Garki,11:00,Monday,Rainy,No,Medium
Maitama,06:00,Sunday,Sunny,No,Low
Asokoro,12:00,Sunday,Cloudy,No,Low
Garki,22:00,Friday,Clear,No,Low
Maitama,16:00,Saturday,Rainy,Yes,Medium
Utako,08:00,Wednesday,Rainy,No,High
Utako,13:00,Wednesday,Rainy,No,Medium
Garki,08:00,Sunday,Clear,Yes,Medium
Wuse,08:00,Sunday,Clear,No,Low
Utako,21:00,Saturday,Rainy,No,Low
Asokoro,19:00,Friday,Rainy,No,Medium
Maitama,09:00,Wednesday,Rainy,Yes,Medium
Utako,15:00,Friday,Rainy,No,Medium
Maitama,15:00,Friday,Rainy,No,Medium
Garki,09:00,Saturday,Sunny,Yes,Low
Wuse,10:00,Monday,Cloudy,Yes,Low
Utako,21:00,Sunday,Rainy,No,Low
Utako,15:00,Tuesday,Rainy,No,Medium
Wuse,08:00,Tuesday,Cloudy,Yes,Medium
Maitama,13:00,Wednesday,Rainy,Yes,Medium
Asokoro,07:00,Tuesday,Rainy,Yes,High
Asokoro,19:00,Sunday,Rainy,No,Low
Utako,17:00,Saturday,Rainy,Yes,High
Asokoro,22:00,Friday,Sunny,No,Low
Garki,20:00,Tuesday,Sunny,Yes,Low
Utako,10:00,Tuesday,Rainy,Yes,Medium
Maitama,09:00,Thursday,Cloudy,Yes,Low
Wuse,13:00,Monday,Clear,Yes,Low
Wuse,21:00,Monday,Cloudy,No,Low
Utako,12:00,Thursday,Clear,No,Low
Utako,13:00,Thursday,Cloudy,No,Low
Garki,20:00,Friday,Rainy,No,Medium
Garki,14:00,Sunday,Clear,Yes,Low
Maitama,13:00,Friday,Clear,Yes,Low
Asokoro,19:00,Sunday,Clear,No,Low
Garki,18:00,Monday,Clear,Yes,Medium
Garki,10:00,Saturday,Clear,No,Low
Wuse,16:00,Wednesday,Cloudy,No,Low
Wuse,09:00,Tuesday,Cloudy,Yes,Low
Utako,06:00,Monday,Clear,Yes,Low
Maitama,22:00,Tuesday,Sunny,Yes,Low
Utako,10:00,Monday,Cloudy,No,Low
Garki,08:00,Sunday,Rainy,No,Medium
Garki,08:00,Friday,Sunny,No,Medium
Maitama,12:00,Friday,Cloudy,Yes,Low
Utako,08:00,Tuesday,Sunny,Yes,Medium
Asokoro,18:00,Friday,Sunny,Yes,Medium
Asokoro,06:00,Thursday,Cloudy,Yes,Low
Wuse,12:00,Saturday,Sunny,No,Low
Maitama,19:00,Sunday,Clear,No,Low
Asokoro,10:00,Sunday,Sunny,Yes,Low
Asokoro,10:00,Wednesday,Clear,No,Low
Utako,09:00,Saturday,Rainy,Yes,Medium
Wuse,11:00,Tuesday,Sunny,No,Low
Utako,06:00,Tuesday,Rainy,Yes,Medium
Garki,08:00,Saturday,Rainy,Yes,High
Maitama,13:00,Friday,Sunny,Yes,Low
Garki,16:00,Friday,Sunny,No,Low
Utako,07:00,Thursday,Clear,No,Medium
Asokoro,22:00,Sunday,Rainy,Yes,Medium
Maitama,16:00,Saturday,Rainy,Yes,Medium
Utako,12:00,Thursday,Cloudy,Yes,Low
Wuse,13:00,Saturday,Rainy,No,Low
Utako,19:00,Wednesday,Sunny,Yes,Low
Maitama,07:00,Friday,Clear,No,Medium
Asokoro,08:00,Monday,Cloudy,No,Medium
Maitama,13:00,Friday,Rainy,Yes,Medium
Wuse,21:00,Tuesday,Cloudy,No,Low
Garki,13:00,Wednesday,Clear,No,Low
Maitama,08:00,Sunday,Rainy,Yes,High
Garki,16:00,Sunday,Sunny,No,Low
Utako,09:00,Saturday,Rainy,No,Low
Garki,21:00,Wednesday,Sunny,Yes,Low
Wuse,16:00,Tuesday,Rainy,Yes,Medium
Wuse,17:00,Saturday,Cloudy,Yes,Medium
Maitama,13:00,Wednesday,Cloudy,Yes,Low
Utako,06:00,Tuesday,Sunny,Yes,Low
Asokoro,07:00,Tuesday,Clear,No,Medium
Maitama,14:00,Tuesday,Rainy,Yes,Medium
Utako,07:00,Tuesday,Clear,Yes,Medium
Maitama,13:00,Friday,Cloudy,Yes,Low
Garki,16:00,Thursday,Rainy,Yes,Medium
Maitama,07:00,Wednesday,Clear,No,Medium
Garki,16:00,Monday,Sunny,No,Low
Wuse,18:00,Wednesday,Cloudy,No,Medium
Asokoro,06:00,Tuesday,Rainy,Yes,Medium
Asokoro,18:00,Monday,Cloudy,No,Medium
Garki,09:00,Wednesday,Rainy,Yes,Medium
Asokoro,17:00,Saturday,Rainy,No,Medium
Maitama,08:00,Friday,Sunny,Yes,Medium
Garki,06:00,Monday,Cloudy,Yes,Low
Wuse,10:00,Sunday,Cloudy,Yes,Low
Wuse,06:00,Sunday,Rainy,No,Low
Wuse,15:00,Thursday,Rainy,Yes,Medium
Garki,07:00,Saturday,Cloudy,Yes,Medium
Maitama,09:00,Wednesday,Clear,No,Low
Asokoro,20:00,Friday,Cloudy,No,Low
Asokoro,22:00,Monday,Cloudy,Yes,Low
Garki,18:00,Saturday,Clear,No,Low
Maitama,17:00,Sunday,Cloudy,No,Low
Garki,21:00,Monday,Cloudy,No,Low
Maitama,22:00,Wednesday,Clear,Yes,Low
Utako,08:00,Saturday,Rainy,Yes,High
Asokoro,13:00,Friday,Sunny,Yes,Low
Wuse,22:00,Saturday,Rainy,No,Low
Asokoro,08:00,Tuesday,Cloudy,Yes,Medium
Asokoro,17:00,Saturday,Clear,No,Low
Garki,09:00,Sunday,Rainy,No,Low
Wuse,06:00,Tuesday,Sunny,Yes,Low
Garki,10:00,Friday,Cloudy,No,Low
Wuse,20:00,Saturday,Cloudy,Yes,Low
Wuse,21:00,Saturday,Clear,No,Low
Asokoro,22:00,Sunday,Sunny,No,Low
Maitama,20:00,Tuesday,Cloudy,No,Low
Asokoro,12:00,Saturday,Sunny,No,Low
Garki,18:00,Tuesday,Rainy,Yes,High
Utako,06:00,Thursday,Sunny,No,Low
Asokoro,19:00,Saturday,Sunny,No,Low
Utako,20:00,Monday,Clear,Yes,Low
Wuse,21:00,Wednesday,Cloudy,Yes,Low
Maitama,13:00,Monday,Rainy,No,Medium
Asokoro,17:00,Wednesday,Rainy,No,High
Utako,12:00,Wednesday,Rainy,No,Medium
Asokoro,15:00,Tuesday,Cloudy,No,Low
Garki,19:00,Saturday,Rainy,Yes,Medium
Maitama,16:00,Sunday,Sunny,Yes,Low
Utako,10:00,Saturday,Cloudy,Yes,Low
Utako,19:00,Monday,Clear,Yes,Low
Utako,16:00,Saturday,Clear,Yes,Low
Garki,14:00,Sunday,Rainy,No,Low
Wuse,19:00,Wednesday,Clear,No,Low
Garki,17:00,Wednesday,Cloudy,Yes,Medium
Asokoro,20:00,Sunday,Cloudy,Yes,Low
Garki,18:00,Monday,Rainy,Yes,High
Asokoro,18:00,Monday,Cloudy,Yes,Medium
Asokoro,19:00,Wednesday,Rainy,Yes,Medium
Garki,22:00,Wednesday,Rainy,Yes,Medium
Wuse,06:00,Tuesday,Clear,Yes,Low
Garki,18:00,Saturday,Clear,Yes,Medium
Garki,15:00,Saturday,Sunny,No,Low
Asokoro,15:00,Monday,Clear,Yes,Low
Asokoro,22:00,Friday,Clear,Yes,Low
Maitama,10:00,Monday,Clear,No,Low
Maitama,21:00,Thursday,Sunny,Yes,Low
Asokoro,06:00,Saturday,Rainy,Yes,Medium
Utako,07:00,Monday,Clear,Yes,Medium
Maitama,13:00,Saturday,Rainy,Yes,Medium
Asokoro,18:00,Saturday,Clear,Yes,Medium
Garki,21:00,Sunday,Sunny,No,Low
Wuse,20:00,Tuesday,Clear,Yes,Low
Asokoro,08:00,Monday,Clear,No,Medium
Garki,22:00,Tuesday,Clear,Yes,Low
Utako,09:00,Wednesday,Clear,Yes,Low
Garki,10:00,Wednesday,Sunny,Yes,Low
Garki,16:00,Wednesday,Sunny,No,Low
Utako,09:00,Saturday,Rainy,Yes,Medium
Maitama,07:00,Thursday,Sunny,No,Medium
Asokoro,22:00,Wednesday,Clear,Yes,Low
Asokoro,22:00,Wednesday,Cloudy,Yes,Low
Maitama,10:00,Monday,Clear,Yes,Low
Garki,21:00,Tuesday,Cloudy,Yes,Low
Garki,06:00,Wednesday,Cloudy,No,Low
Garki,17:00,Monday,Cloudy,Yes,Medium
Asokoro,09:00,Saturday,Rainy,No,Low
Garki,09:00,Wednesday,Sunny,No,Low
Asokoro,20:00,Monday,Rainy,No,Medium
Asokoro,21:00,Thursday,Clear,No,Low
Utako,17:00,Monday,Rainy,No,High
Maitama,12:00,Saturday,Sunny,Yes,Low
Asokoro,19:00,Sunday,Clear,Yes,Low
Asokoro,22:00,Sunday,Rainy,Yes,Medium
Maitama,18:00,Monday,Rainy,No,High
Wuse,10:00,Sunday,Clear,No,Low
Wuse,10:00,Monday,Sunny,No,Low
Utako,10:00,Tuesday,Cloudy,Yes,Low
Wuse,22:00,Friday,Clear,Yes,Low
Asokoro,10:00,Saturday,Rainy,No,Low
Utako,19:00,Friday,Cloudy,Yes,Low
Asokoro,12:00,Thursday,Rainy,Yes,Medium
Wuse,17:00,Sunday,Rainy,No,Medium
Asokoro,18:00,Thursday,Cloudy,No,Medium
Utako,18:00,Friday,Clear,No,Medium
Utako,17:00,Monday,Rainy,No,High
Asokoro,13:00,Thursday,Clear,No,Low
Utako,10:00,Tuesday,Rainy,Yes,Medium
Garki,09:00,Friday,Sunny,Yes,Low
Garki,13:00,Tuesday,Cloudy,No,Low
Utako,16:00,Thursday,Sunny,No,Low
Maitama,07:00,Saturday,Rainy,No,Medium
Maitama,11:00,Wednesday,Sunny,No,Low
Garki,22:00,Sunday,Clear,No,Low
Garki,22:00,Thursday,Cloudy,Yes,Low
Maitama,13:00,Sunday,Clear,Yes,Low
Asokoro,15:00,Monday,Clear,Yes,Low
Asokoro,21:00,Tuesday,Rainy,Yes,Medium
Asokoro,09:00,Tuesday,Rainy,No,Medium
Maitama,15:00,Monday,Cloudy,Yes,Low
Asokoro,11:00,Friday,Rainy,Yes,Medium
Utako,12:00,Wednesday,Cloudy,No,Low
Garki,11:00,Wednesday,Sunny,Yes,Low
Asokoro,08:00,Sunday,Cloudy,Yes,Medium
Wuse,15:00,Tuesday,Clear,No,Low
Utako,17:00,Monday,Sunny,No,Medium
Wuse,13:00,Sunday,Clear,Yes,Low
Utako,13:00,Thursday,Cloudy,No,Low
Wuse,15:00,Monday,Cloudy,Yes,Low
Asokoro,18:00,Tuesday,Sunny,Yes,Medium
Garki,17:00,Sunday,Cloudy,Yes,Medium
Garki,11:00,Thursday,Rainy,Yes,Medium
Asokoro,13:00,Tuesday,Cloudy,Yes,Low
Maitama,06:00,Wednesday,Sunny,Yes,Low
Wuse,13:00,Saturday,Sunny,Yes,Low
Maitama,14:00,Saturday,Sunny,No,Low
Utako,09:00,Sunday,Sunny,No,Low
Maitama,15:00,Friday,Clear,No,Low
Wuse,21:00,Saturday,Sunny,No,Low
Utako,09:00,Thursday,Clear,No,Low
Utako,17:00,Sunday,Sunny,No,Low
Wuse,07:00,Tuesday,Rainy,No,High
Asokoro,17:00,Tuesday,Sunny,No,Medium
Garki,22:00,Tuesday,Clear,No,Low
Maitama,22:00,Wednesday,Sunny,Yes,Low
Asokoro,10:00,Wednesday,Cloudy,No,Low
Utako,11:00,Sunday,Rainy,No,Low
Garki,14:00,Tuesday,Cloudy,No,Low
Wuse,21:00,Tuesday,Sunny,No,Low
Maitama,13:00,Thursday,Rainy,Yes,Medium
Maitama,08:00,Friday,Sunny,Yes,Medium
Wuse,09:00,Friday,Clear,No,Low
Wuse,22:00,Tuesday,Clear,Yes,Low
Maitama,16:00,Friday,Clear,Yes,Low
Asokoro,13:00,Monday,Rainy,Yes,Medium
Garki,21:00,Saturday,Clear,No,Low
Maitama,06:00,Saturday,Clear,No,Low
Maitama,16:00,Monday,Cloudy,No,Low
Wuse,19:00,Sunday,Clear,No,Low
Asokoro,11:00,Sunday,Sunny,No,Low
Utako,21:00,Saturday,Rainy,No,Low
Maitama,14:00,Saturday,Cloudy,No,Low
Asokoro,18:00,Monday,Sunny,No,Medium
Wuse,10:00,Friday,Clear,No,Low
Asokoro,15:00,Tuesday,Rainy,No,Medium
Utako,09:00,Tuesday,Clear,No,Low
Garki,09:00,Saturday,Rainy,Yes,Medium
Maitama,12:00,Sunday,Sunny,No,Low
Asokoro,07:00,Thursday,Rainy,No,High
Wuse,08:00,Wednesday,Cloudy,No,Medium
Garki,11:00,Monday,Rainy,No,Medium
Asokoro,13:00,Sunday,Rainy,Yes,Medium
Utako,07:00,Friday,Rainy,Yes,High
Maitama,08:00,Saturday,Cloudy,Yes,Medium
Utako,08:00,Friday,Cloudy,No,Medium
Utako,19:00,Tuesday,Rainy,Yes,Medium
Asokoro,17:00,Friday,Cloudy,Yes,Medium
Utako,08:00,Wednesday,Clear,No,Medium
Utako,16:00,Friday,Rainy,No,Medium
Wuse,15:00,Wednesday,Rainy,No,Medium
Asokoro,18:00,Sunday,Sunny,Yes,Medium
Wuse,15:00,Tuesday,Clear,Yes,Low
Wuse,17:00,Thursday,Rainy,No,High
Maitama,07:00,Sunday,Clear,Yes,Medium
Wuse,11:00,Friday,Cloudy,Yes,Low
Maitama,20:00,Monday,Rainy,Yes,Medium
Garki,17:00,Friday,Cloudy,No,Medium
Utako,20:00,Monday,Sunny,Yes,Low
Asokoro,06:00,Wednesday,Cloudy,Yes,Low
Utako,13:00,Thursday,Cloudy,Yes,Low
Garki,13:00,Thursday,Sunny,Yes,Low
Wuse,22:00,Friday,Clear,No,Low
Garki,18:00,Wednesday,Clear,No,Medium
Wuse,19:00,Monday,Sunny,No,Low
Asokoro,12:00,Monday,Sunny,No,Low
Asokoro,11:00,Tuesday,Clear,No,Low
Garki,06:00,Tuesday,Clear,Yes,Low
Asokoro,18:00,Monday,Sunny,Yes,Medium
Garki,15:00,Friday,Rainy,Yes,Medium
Utako,21:00,Friday,Cloudy,Yes,Low
Garki,21:00,Saturday,Cloudy,Yes,Low
Garki,19:00,Thursday,Rainy,No,Medium
Garki,21:00,Sunday,Clear,Yes,Low
Asokoro,13:00,Thursday,Rainy,Yes,Medium
